fips2000,fips2010,Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,State,cbsasub,areaname,county,CouSub,countyname,county_town_name,pop2010,hu2010,state_alpha
219599999.0,219599999,1066,657,796,1323,1461,2,NCNTY02195N02195,"Petersburg Census Area, AK",195.0,99999,Petersburg Census Area,Petersburg Census Area,3815.0,1994.0,AK
219899999.0,219899999,981,801,806,1217,1345,2,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",198.0,99999,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,5559.0,2992.0,AK
222099999.0,222099999,1272,870,950,1751,1962,2,NCNTY02220N02220,"Sitka City and Borough, AK",220.0,99999,Sitka City and Borough,Sitka City and Borough,8881.0,4102.0,AK
223099999.0,223099999,1308,946,999,1679,2017,2,NCNTY02230N02230,"Skagway Municipality, AK",230.0,99999,Skagway Municipality,Skagway Municipality,968.0,636.0,AK
224099999.0,224099999,1258,910,1087,1818,2196,2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",240.0,99999,Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,7029.0,3915.0,AK
226199999.0,226199999,1237,918,924,1535,1908,2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",261.0,99999,Valdez-Cordova Census Area,Valdez-Cordova Census Area,9636.0,6102.0,AK
227099999.0,227099999,939,679,741,1165,1287,2,NCNTY02270N02270,"Wade Hampton Census Area, AK",270.0,99999,Wade Hampton Census Area,Wade Hampton Census Area,7459.0,2183.0,AK
227599999.0,227599999,882,638,659,1285,1360,2,NCNTY02275N02275,"Wrangell City and Borough, AK",275.0,99999,Wrangell City and Borough,Wrangell City and Borough,2369.0,1428.0,AK
228299999.0,228299999,1057,764,835,1326,1630,2,NCNTY02282N02282,"Yakutat City and Borough, AK",282.0,99999,Yakutat City and Borough,Yakutat City and Borough,662.0,450.0,AK
229099999.0,229099999,811,617,621,1006,1251,2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",290.0,99999,Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,5588.0,4038.0,AK
100199999.0,100199999,840,602,690,1097,1424,1,METRO33860M33860,"Montgomery, AL MSA",1.0,99999,Autauga County,Autauga County,54571.0,22135.0,AL
100399999.0,100399999,935,770,808,1363,1577,1,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",3.0,99999,Baldwin County,Baldwin County,182265.0,104061.0,AL
100599999.0,100599999,678,503,507,841,929,1,NCNTY01005N01005,"Barbour County, AL",5.0,99999,Barbour County,Barbour County,27457.0,11829.0,AL
100799999.0,100799999,914,666,790,1234,1360,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",7.0,99999,Bibb County,Bibb County,22915.0,8981.0,AL
100999999.0,100999999,914,666,790,1234,1360,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",9.0,99999,Blount County,Blount County,57322.0,23887.0,AL
101199999.0,101199999,569,451,454,829,985,1,NCNTY01011N01011,"Bullock County, AL",11.0,99999,Bullock County,Bullock County,10914.0,4493.0,AL
101399999.0,101399999,576,427,430,810,841,1,NCNTY01013N01013,"Butler County, AL",13.0,99999,Butler County,Butler County,20947.0,9964.0,AL
101599999.0,101599999,676,473,505,860,951,1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",15.0,99999,Calhoun County,Calhoun County,118572.0,53289.0,AL
101799999.0,101799999,731,467,599,907,1002,1,NCNTY01017N01017,"Chambers County, AL",17.0,99999,Chambers County,Chambers County,34215.0,17004.0,AL
101999999.0,101999999,654,485,489,910,1142,1,NCNTY01019N01019,"Cherokee County, AL",19.0,99999,Cherokee County,Cherokee County,25989.0,16267.0,AL
102199999.0,102199999,650,492,556,947,1135,1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",21.0,99999,Chilton County,Chilton County,43643.0,19278.0,AL
102399999.0,102399999,709,526,530,880,1035,1,NCNTY01023N01023,"Choctaw County, AL",23.0,99999,Choctaw County,Choctaw County,13859.0,7269.0,AL
102599999.0,102599999,569,468,492,800,922,1,NCNTY01025N01025,"Clarke County, AL",25.0,99999,Clarke County,Clarke County,25833.0,12638.0,AL
102799999.0,102799999,569,439,460,806,831,1,NCNTY01027N01027,"Clay County, AL",27.0,99999,Clay County,Clay County,13932.0,6776.0,AL
102999999.0,102999999,671,498,501,833,920,1,NCNTY01029N01029,"Cleburne County, AL",29.0,99999,Cleburne County,Cleburne County,14972.0,6718.0,AL
103199999.0,103199999,640,505,508,931,1062,1,NCNTY01031N01031,"Coffee County, AL",31.0,99999,Coffee County,Coffee County,49948.0,22330.0,AL
103399999.0,103399999,653,504,507,848,1028,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",33.0,99999,Colbert County,Colbert County,54428.0,25758.0,AL
103599999.0,103599999,569,422,425,829,831,1,NCNTY01035N01035,"Conecuh County, AL",35.0,99999,Conecuh County,Conecuh County,13228.0,7093.0,AL
103799999.0,103799999,605,464,467,815,829,1,NCNTY01037N01037,"Coosa County, AL",37.0,99999,Coosa County,Coosa County,11539.0,6478.0,AL
103999999.0,103999999,620,460,463,826,1082,1,NCNTY01039N01039,"Covington County, AL",39.0,99999,Covington County,Covington County,37765.0,18829.0,AL
104199999.0,104199999,569,422,425,759,930,1,NCNTY01041N01041,"Crenshaw County, AL",41.0,99999,Crenshaw County,Crenshaw County,13906.0,6735.0,AL
104399999.0,104399999,652,476,520,819,894,1,NCNTY01043N01043,"Cullman County, AL",43.0,99999,Cullman County,Cullman County,80406.0,37054.0,AL
104599999.0,104599999,618,398,478,888,1079,1,NCNTY01045N01045,"Dale County, AL",45.0,99999,Dale County,Dale County,50251.0,22677.0,AL
104799999.0,104799999,569,409,453,747,981,1,NCNTY01047N01047,"Dallas County, AL",47.0,99999,Dallas County,Dallas County,43820.0,20208.0,AL
104999999.0,104999999,617,464,473,766,846,1,NCNTY01049N01049,"DeKalb County, AL",49.0,99999,DeKalb County,DeKalb County,71109.0,31109.0,AL
105199999.0,105199999,840,602,690,1097,1424,1,METRO33860M33860,"Montgomery, AL MSA",51.0,99999,Elmore County,Elmore County,79303.0,32657.0,AL
105399999.0,105399999,586,482,506,767,874,1,NCNTY01053N01053,"Escambia County, AL",53.0,99999,Escambia County,Escambia County,38319.0,16486.0,AL
105599999.0,105599999,685,432,530,850,985,1,METRO23460M23460,"Gadsden, AL MSA",55.0,99999,Etowah County,Etowah County,104430.0,47454.0,AL
105799999.0,105799999,569,461,490,807,831,1,NCNTY01057N01057,"Fayette County, AL",57.0,99999,Fayette County,Fayette County,17241.0,8437.0,AL
105999999.0,105999999,573,453,456,711,836,1,NCNTY01059N01059,"Franklin County, AL",59.0,99999,Franklin County,Franklin County,31704.0,14022.0,AL
106199999.0,106199999,701,532,542,942,1104,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",61.0,99999,Geneva County,Geneva County,26790.0,12687.0,AL
106399999.0,106399999,569,451,454,829,831,1,NCNTY01063N01063,"Greene County, AL",63.0,99999,Greene County,Greene County,9045.0,5007.0,AL
106599999.0,106599999,858,608,706,1096,1176,1,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",65.0,99999,Hale County,Hale County,15760.0,7655.0,AL
106799999.0,106799999,611,476,486,792,1067,1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",67.0,99999,Henry County,Henry County,17302.0,8891.0,AL
106999999.0,106999999,701,532,542,942,1104,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",69.0,99999,Houston County,Houston County,101547.0,45319.0,AL
107199999.0,107199999,606,491,497,752,941,1,NCNTY01071N01071,"Jackson County, AL",71.0,99999,Jackson County,Jackson County,53227.0,24786.0,AL
107399999.0,107399999,914,666,790,1234,1360,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",73.0,99999,Jefferson County,Jefferson County,658466.0,300552.0,AL
107599999.0,107599999,569,461,472,706,831,1,NCNTY01075N01075,"Lamar County, AL",75.0,99999,Lamar County,Lamar County,14564.0,7354.0,AL
107799999.0,107799999,653,504,507,848,1028,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",77.0,99999,Lauderdale County,Lauderdale County,92709.0,43791.0,AL
107999999.0,107999999,666,462,548,910,993,1,METRO19460M19460,"Decatur, AL MSA",79.0,99999,Lawrence County,Lawrence County,34339.0,15229.0,AL
108199999.0,108199999,799,553,597,1065,1333,1,METRO12220M12220,"Auburn-Opelika, AL MSA",81.0,99999,Lee County,Lee County,140247.0,62391.0,AL
108399999.0,108399999,782,564,643,1069,1304,1,METRO26620M26620,"Huntsville, AL MSA",83.0,99999,Limestone County,Limestone County,82782.0,34977.0,AL
108599999.0,108599999,840,602,690,1097,1424,1,METRO33860M33860,"Montgomery, AL MSA",85.0,99999,Lowndes County,Lowndes County,11299.0,5140.0,AL
108799999.0,108799999,597,443,446,870,984,1,NCNTY01087N01087,"Macon County, AL",87.0,99999,Macon County,Macon County,21452.0,10259.0,AL
108999999.0,108999999,782,564,643,1069,1304,1,METRO26620M26620,"Huntsville, AL MSA",89.0,99999,Madison County,Madison County,334811.0,146447.0,AL
109199999.0,109199999,569,422,425,774,831,1,NCNTY01091N01091,"Marengo County, AL",91.0,99999,Marengo County,Marengo County,21027.0,10237.0,AL
109399999.0,109399999,569,422,425,716,780,1,NCNTY01093N01093,"Marion County, AL",93.0,99999,Marion County,Marion County,30776.0,14737.0,AL
109599999.0,109599999,620,460,463,847,850,1,NCNTY01095N01095,"Marshall County, AL",95.0,99999,Marshall County,Marshall County,93019.0,40342.0,AL
109799999.0,109799999,847,697,705,1111,1251,1,METRO33660M33660,"Mobile, AL MSA",97.0,99999,Mobile County,Mobile County,412992.0,178196.0,AL
109999999.0,109999999,569,448,451,829,993,1,NCNTY01099N01099,"Monroe County, AL",99.0,99999,Monroe County,Monroe County,23068.0,11333.0,AL
110199999.0,110199999,840,602,690,1097,1424,1,METRO33860M33860,"Montgomery, AL MSA",101.0,99999,Montgomery County,Montgomery County,229363.0,101641.0,AL
110399999.0,110399999,666,462,548,910,993,1,METRO19460M19460,"Decatur, AL MSA",103.0,99999,Morgan County,Morgan County,119490.0,51193.0,AL
110599999.0,110599999,569,468,492,763,831,1,NCNTY01105N01105,"Perry County, AL",105.0,99999,Perry County,Perry County,10591.0,4737.0,AL
110799999.0,110799999,588,417,439,731,806,1,METRO46220N01107,"Pickens County, AL HUD Metro FMR Area",107.0,99999,Pickens County,Pickens County,19746.0,9483.0,AL
110999999.0,110999999,628,517,542,902,917,1,NCNTY01109N01109,"Pike County, AL",109.0,99999,Pike County,Pike County,32899.0,15267.0,AL
111199999.0,111199999,615,469,473,818,853,1,NCNTY01111N01111,"Randolph County, AL",111.0,99999,Randolph County,Randolph County,22913.0,11982.0,AL
111399999.0,111399999,848,648,718,1176,1481,1,METRO17980M17980,"Columbus, GA-AL MSA",113.0,99999,Russell County,Russell County,52947.0,24595.0,AL
111799999.0,111799999,914,666,790,1234,1360,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",117.0,99999,Shelby County,Shelby County,195085.0,80970.0,AL
111599999.0,111599999,914,666,790,1234,1360,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",115.0,99999,St. Clair County,St. Clair County,83593.0,35541.0,AL
111999999.0,111999999,714,578,583,886,979,1,NCNTY01119N01119,"Sumter County, AL",119.0,99999,Sumter County,Sumter County,13763.0,6786.0,AL
112199999.0,112199999,620,460,463,868,887,1,NCNTY01121N01121,"Talladega County, AL",121.0,99999,Talladega County,Talladega County,82291.0,37088.0,AL
112399999.0,112399999,595,482,489,863,957,1,NCNTY01123N01123,"Tallapoosa County, AL",123.0,99999,Tallapoosa County,Tallapoosa County,41616.0,22111.0,AL
112599999.0,112599999,858,608,706,1096,1176,1,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",125.0,99999,Tuscaloosa County,Tuscaloosa County,194656.0,84872.0,AL
112799999.0,112799999,682,516,531,912,1054,1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",127.0,99999,Walker County,Walker County,67023.0,30816.0,AL
112999999.0,112999999,678,505,508,963,990,1,NCNTY01129N01129,"Washington County, AL",129.0,99999,Washington County,Washington County,17581.0,8407.0,AL
113199999.0,113199999,569,451,454,808,831,1,NCNTY01131N01131,"Wilcox County, AL",131.0,99999,Wilcox County,Wilcox County,11670.0,5649.0,AL
113399999.0,113399999,569,435,438,791,993,1,NCNTY01133N01133,"Winston County, AL",133.0,99999,Winston County,Winston County,24484.0,13469.0,AL
500199999.0,500199999,669,526,565,865,947,5,NCNTY05001N05001,"Arkansas County, AR",1.0,99999,Arkansas County,Arkansas County,19019.0,9436.0,AR
500399999.0,500399999,632,497,529,856,866,5,NCNTY05003N05003,"Ashley County, AR",3.0,99999,Ashley County,Ashley County,21853.0,10137.0,AR
500599999.0,500599999,675,501,504,928,1107,5,NCNTY05005N05005,"Baxter County, AR",5.0,99999,Baxter County,Baxter County,41513.0,22580.0,AR
500799999.0,500799999,752,549,581,1092,1313,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",7.0,99999,Benton County,Benton County,221339.0,93084.0,AR
500999999.0,500999999,654,485,489,933,1142,5,NCNTY05009N05009,"Boone County, AR",9.0,99999,Boone County,Boone County,36903.0,16827.0,AR
501199999.0,501199999,740,513,553,920,1014,5,NCNTY05011N05011,"Bradley County, AR",11.0,99999,Bradley County,Bradley County,11508.0,5860.0,AR
501399999.0,501399999,645,507,509,812,937,5,NCNTY05013N05013,"Calhoun County, AR",13.0,99999,Calhoun County,Calhoun County,5368.0,2897.0,AR
501599999.0,501599999,689,567,568,900,944,5,NCNTY05015N05015,"Carroll County, AR",15.0,99999,Carroll County,Carroll County,27446.0,13559.0,AR
501799999.0,501799999,617,485,497,899,1077,5,NCNTY05017N05017,"Chicot County, AR",17.0,99999,Chicot County,Chicot County,11800.0,5421.0,AR
501999999.0,501999999,648,481,484,894,995,5,NCNTY05019N05019,"Clark County, AR",19.0,99999,Clark County,Clark County,22995.0,10385.0,AR
502199999.0,502199999,617,458,461,899,977,5,NCNTY05021N05021,"Clay County, AR",21.0,99999,Clay County,Clay County,16083.0,8031.0,AR
502399999.0,502399999,653,485,488,952,987,5,NCNTY05023N05023,"Cleburne County, AR",23.0,99999,Cleburne County,Cleburne County,25970.0,15826.0,AR
502599999.0,502599999,687,424,524,853,1039,5,METRO38220M38220,"Pine Bluff, AR MSA",25.0,99999,Cleveland County,Cleveland County,8689.0,4064.0,AR
502799999.0,502799999,617,485,515,899,957,5,NCNTY05027N05027,"Columbia County, AR",27.0,99999,Columbia County,Columbia County,24552.0,11596.0,AR
502999999.0,502999999,747,489,558,927,1221,5,NCNTY05029N05029,"Conway County, AR",29.0,99999,Conway County,Conway County,21273.0,9720.0,AR
503199999.0,503199999,680,419,553,929,932,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",31.0,99999,Craighead County,Craighead County,96443.0,40515.0,AR
503399999.0,503399999,675,501,504,901,1086,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",33.0,99999,Crawford County,Crawford County,61948.0,26115.0,AR
503599999.0,503599999,881,641,746,1201,1394,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",35.0,99999,Crittenden County,Crittenden County,50902.0,21489.0,AR
503799999.0,503799999,693,514,518,897,1016,5,NCNTY05037N05037,"Cross County, AR",37.0,99999,Cross County,Cross County,17870.0,7853.0,AR
503999999.0,503999999,617,485,485,891,896,5,NCNTY05039N05039,"Dallas County, AR",39.0,99999,Dallas County,Dallas County,8116.0,4305.0,AR
504199999.0,504199999,617,460,463,855,896,5,NCNTY05041N05041,"Desha County, AR",41.0,99999,Desha County,Desha County,13008.0,6261.0,AR
504399999.0,504399999,640,475,478,860,881,5,NCNTY05043N05043,"Drew County, AR",43.0,99999,Drew County,Drew County,18509.0,8408.0,AR
504599999.0,504599999,817,560,673,1111,1300,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",45.0,99999,Faulkner County,Faulkner County,113237.0,46612.0,AR
504799999.0,504799999,637,473,476,790,925,5,NCNTY05047N05047,"Franklin County, AR",47.0,99999,Franklin County,Franklin County,18125.0,8021.0,AR
504999999.0,504999999,617,458,461,820,896,5,NCNTY05049N05049,"Fulton County, AR",49.0,99999,Fulton County,Fulton County,12245.0,6778.0,AR
505199999.0,505199999,784,484,586,991,1189,5,METRO26300M26300,"Hot Springs, AR MSA",51.0,99999,Garland County,Garland County,96024.0,50548.0,AR
505399999.0,505399999,657,483,568,958,1147,5,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",53.0,99999,Grant County,Grant County,17853.0,7758.0,AR
505599999.0,505599999,692,427,564,892,1136,5,NCNTY05055N05055,"Greene County, AR",55.0,99999,Greene County,Greene County,42090.0,17892.0,AR
505799999.0,505799999,640,503,518,865,889,5,NCNTY05057N05057,"Hempstead County, AR",57.0,99999,Hempstead County,Hempstead County,22609.0,10419.0,AR
505999999.0,505999999,648,509,560,845,968,5,NCNTY05059N05059,"Hot Spring County, AR",59.0,99999,Hot Spring County,Hot Spring County,32923.0,14332.0,AR
506199999.0,506199999,617,385,461,798,979,5,NCNTY05061N05061,"Howard County, AR",61.0,99999,Howard County,Howard County,13789.0,6238.0,AR
506399999.0,506399999,654,485,489,822,988,5,NCNTY05063N05063,"Independence County, AR",63.0,99999,Independence County,Independence County,36647.0,16187.0,AR
506599999.0,506599999,617,381,499,816,935,5,NCNTY05065N05065,"Izard County, AR",65.0,99999,Izard County,Izard County,13696.0,7232.0,AR
506799999.0,506799999,617,381,461,810,971,5,NCNTY05067N05067,"Jackson County, AR",67.0,99999,Jackson County,Jackson County,17997.0,7601.0,AR
506999999.0,506999999,687,424,524,853,1039,5,METRO38220M38220,"Pine Bluff, AR MSA",69.0,99999,Jefferson County,Jefferson County,77435.0,33006.0,AR
507199999.0,507199999,643,477,480,801,881,5,NCNTY05071N05071,"Johnson County, AR",71.0,99999,Johnson County,Johnson County,25540.0,11311.0,AR
507399999.0,507399999,617,458,461,790,890,5,NCNTY05073N05073,"Lafayette County, AR",73.0,99999,Lafayette County,Lafayette County,7645.0,4353.0,AR
507599999.0,507599999,617,460,463,827,863,5,NCNTY05075N05075,"Lawrence County, AR",75.0,99999,Lawrence County,Lawrence County,17415.0,8000.0,AR
507799999.0,507799999,631,468,471,783,879,5,NCNTY05077N05077,"Lee County, AR",77.0,99999,Lee County,Lee County,10424.0,4356.0,AR
507999999.0,507999999,687,424,524,853,1039,5,METRO38220M38220,"Pine Bluff, AR MSA",79.0,99999,Lincoln County,Lincoln County,14134.0,4860.0,AR
508199999.0,508199999,617,458,461,766,1077,5,METRO45500N05081,"Little River County, AR HUD Metro FMR Area",81.0,99999,Little River County,Little River County,13171.0,6460.0,AR
508399999.0,508399999,617,428,461,870,992,5,NCNTY05083N05083,"Logan County, AR",83.0,99999,Logan County,Logan County,22353.0,10108.0,AR
508599999.0,508599999,817,560,673,1111,1300,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",85.0,99999,Lonoke County,Lonoke County,68356.0,27239.0,AR
508799999.0,508799999,752,549,581,1092,1313,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",87.0,99999,Madison County,Madison County,15717.0,7481.0,AR
508999999.0,508999999,617,458,461,799,979,5,NCNTY05089N05089,"Marion County, AR",89.0,99999,Marion County,Marion County,16653.0,9354.0,AR
509199999.0,509199999,761,477,602,955,1043,5,METRO45500M45500,"Texarkana, TX-Texarkana, AR HUD Metro FMR Area",91.0,99999,Miller County,Miller County,43462.0,19281.0,AR
509399999.0,509399999,672,458,502,871,921,5,NCNTY05093N05093,"Mississippi County, AR",93.0,99999,Mississippi County,Mississippi County,46480.0,20459.0,AR
509599999.0,509599999,628,466,469,817,1096,5,NCNTY05095N05095,"Monroe County, AR",95.0,99999,Monroe County,Monroe County,8149.0,4455.0,AR
509799999.0,509799999,681,505,509,845,989,5,NCNTY05097N05097,"Montgomery County, AR",97.0,99999,Montgomery County,Montgomery County,9487.0,5763.0,AR
509999999.0,509999999,618,459,462,810,880,5,NCNTY05099N05099,"Nevada County, AR",99.0,99999,Nevada County,Nevada County,8997.0,4563.0,AR
510199999.0,510199999,617,458,461,774,896,5,NCNTY05101N05101,"Newton County, AR",101.0,99999,Newton County,Newton County,8330.0,4664.0,AR
510399999.0,510399999,617,508,533,826,1019,5,NCNTY05103N05103,"Ouachita County, AR",103.0,99999,Ouachita County,Ouachita County,26120.0,13121.0,AR
510599999.0,510599999,817,560,673,1111,1300,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",105.0,99999,Perry County,Perry County,10445.0,4907.0,AR
510799999.0,510799999,618,459,462,901,1079,5,NCNTY05107N05107,"Phillips County, AR",107.0,99999,Phillips County,Phillips County,21757.0,10126.0,AR
510999999.0,510999999,617,508,533,766,846,5,NCNTY05109N05109,"Pike County, AR",109.0,99999,Pike County,Pike County,11291.0,5580.0,AR
511199999.0,511199999,617,502,505,849,1019,5,METRO27860N05111,"Poinsett County, AR HUD Metro FMR Area",111.0,99999,Poinsett County,Poinsett County,24583.0,10923.0,AR
511399999.0,511399999,617,458,461,811,897,5,NCNTY05113N05113,"Polk County, AR",113.0,99999,Polk County,Polk County,20662.0,10002.0,AR
511599999.0,511599999,681,513,516,962,1189,5,NCNTY05115N05115,"Pope County, AR",115.0,99999,Pope County,Pope County,61754.0,25551.0,AR
511799999.0,511799999,617,475,478,899,1077,5,NCNTY05117N05117,"Prairie County, AR",117.0,99999,Prairie County,Prairie County,8715.0,4503.0,AR
511999999.0,511999999,817,560,673,1111,1300,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",119.0,99999,Pulaski County,Pulaski County,382748.0,175555.0,AR
512199999.0,512199999,617,458,461,766,896,5,NCNTY05121N05121,"Randolph County, AR",121.0,99999,Randolph County,Randolph County,17969.0,8513.0,AR
512599999.0,512599999,817,560,673,1111,1300,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",125.0,99999,Saline County,Saline County,107118.0,44811.0,AR
512799999.0,512799999,618,459,462,774,897,5,NCNTY05127N05127,"Scott County, AR",127.0,99999,Scott County,Scott County,11233.0,5193.0,AR
512999999.0,512999999,617,485,510,810,896,5,NCNTY05129N05129,"Searcy County, AR",129.0,99999,Searcy County,Searcy County,8195.0,4900.0,AR
513199999.0,513199999,675,501,504,901,1086,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",131.0,99999,Sebastian County,Sebastian County,125744.0,54651.0,AR
513399999.0,513399999,617,458,461,766,846,5,NCNTY05133N05133,"Sevier County, AR",133.0,99999,Sevier County,Sevier County,17058.0,6887.0,AR
513599999.0,513599999,618,381,462,861,897,5,NCNTY05135N05135,"Sharp County, AR",135.0,99999,Sharp County,Sharp County,17264.0,9822.0,AR
512399999.0,512399999,617,485,522,899,1077,5,NCNTY05123N05123,"St. Francis County, AR",123.0,99999,St. Francis County,St. Francis County,28258.0,10903.0,AR
513799999.0,513799999,634,471,474,792,921,5,NCNTY05137N05137,"Stone County, AR",137.0,99999,Stone County,Stone County,12394.0,6712.0,AR
513999999.0,513999999,702,527,531,871,994,5,NCNTY05139N05139,"Union County, AR",139.0,99999,Union County,Union County,41639.0,19653.0,AR
514199999.0,514199999,617,458,461,883,886,5,NCNTY05141N05141,"Van Buren County, AR",141.0,99999,Van Buren County,Van Buren County,17295.0,10345.0,AR
514399999.0,514399999,752,549,581,1092,1313,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",143.0,99999,Washington County,Washington County,203065.0,87808.0,AR
514599999.0,514599999,694,515,518,1003,1165,5,NCNTY05145N05145,"White County, AR",145.0,99999,White County,White County,77076.0,32488.0,AR
